Stock,Average Monthly Return (%),Average Monthly Volatility (%)
AAPL,2.2293882621114385,17.635253351236397
AMZN,3.397403972368883,21.389109248667598
BAC,1.0965204107696325,14.464189611229346
CVX,1.0219220489964473,10.826661805912165
GOOGL,2.1320973535788585,12.895927711050833
GS,1.1519223533559524,14.026406865882384
JNJ,1.0540407100102425,9.294713577895365
JPM,1.0003015478713029,13.256708837022789
KO,0.8848373991131802,9.337544473978719
MSFT,2.236316438947907,13.514938689949824
NVDA,3.8620033956805115,24.932793057215456
PFE,0.8883144944167504,11.284565764356358
SPY,0.7838670481154211,6.812807453936487
UNH,2.0142612994553444,14.313007304959955
WMT,1.6691702503272225,12.00791192291405
XOM,0.8058783262909506,9.263880715389101
